Station ID,Data Source,Station Name,Latitude,Longitude,Elevation(m),Station history
ALE-05BA801,Alberta Environment,BOW RIVER,51.41666667,-116.1833333,1580,BOW RIVER 51 25 116 11 1580 19370330 20030401 141
ALE-05BA813,Alberta Environment,BOW SUMMIT (NEW),51.7,-116.4666667,2080,BOW SUMMIT (NEW) 51 42 116 28 2080 19790227 20030528 119
ALE-05BA811,Alberta Environment,BOW SUMMIT (OLD),51.7,-116.4666667,2080,BOW SUMMIT (OLD) 51 42 116 28 2080 19680229 19800430 35
ALE-05DD801,Alberta Environment,BRAZEAU RES.,52.95,-115.6833333,970,BRAZEAU RES. 52 57 115 41 970 19770228 20030402 54
ALE-05DD802,Alberta Environment,BROWN CREEK,52.75,-116.55,1340,BROWN CREEK 52 45 116 33 1340 19770301 20030401 54
ALE-05EE802,Alberta Environment,BRUCE SNOW PL,53.28333333,-112.0666667,670,BRUCE SNOW PL 53 17 112 4 670 19750313 20030328 94
ALE-05BA808,Alberta Environment,CHATEAU LAWN,51.41666667,-116.2166667,1740,CHATEAU LAWN 51 25 116 13 1740 19400329 20030401 132
ALE-05ED801,Alberta Environment,CLANDONALD,53.56666667,-110.8666667,640,CLANDONALD 53 34 110 52 640 19730320 20030331 73
ALE-05CD803,Alberta Environment,CLIVE,52.58333333,-113.4166667,860,CLIVE 52 35 113 25 860 19870302 20030328 35
ALE-05FD801,Alberta Environment,CORONATION #2,52.21666667,-111.25,760,CORONATION #2 52 13 111 15 760 19730314 20030327 71
ALE-05DC802,Alberta Environment,CRIMSON LAKE,52.41666667,-115.0333333,970,CRIMSON LAKE 52 25 115 2 970 19730306 20030402 71
ALE-05BD801,Alberta Environment,CUTHEAD LAKE,51.45,-115.7666667,2210,CUTHEAD LAKE 51 27 115 46 2210 19790328 20030528 97
ALE-05CC802,Alberta Environment,DICKSON,52.08333333,-114.1666667,910,DICKSON 52 5 114 10 910 19730307 20030402 71
ALE-07AG802,Alberta Environment,EDSON #2,53.58333333,-116.2333333,910,EDSON #2 53 35 116 14 910 19730321 20030331 72
ALE-05EB802,Alberta Environment,ELK ISLAND PARK,53.58333333,-112.8333333,700,ELK ISLAND PARK 53 35 112 50 700 19730313 20030327 70
ALE-07DD801,Alberta Environment,EMBARRAS PORT,58.38333333,-111.5333333,210,EMBARRAS PORT 58 23 111 32 210 19730314 20030402 87
ALE-07FD801,Alberta Environment,EUREKA RIVER,56.51666667,-118.75,700,EUREKA RIVER 56 31 118 45 700 19730320 20030331 71
ALE-07FD802,Alberta Environment,FAIRVIEW,56.03333333,-118.4,630,FAIRVIEW 56 2 118 24 630 19730321 20030328 74
ALE-13A19,Alberta Environment,FLATTOP PILLOW,48.8,-113.85,1920,FLATTOP PILLOW 48 48 113 51 1920 19700101 20030601 213
ALE-07BC803,Alberta Environment,FLATBUSH,54.73333333,-114.0833333,640,FLATBUSH 54 44 114 5 640 19730319 20030401 74
ALE-07MD801,Alberta Environment,FORT CHIPEWYAN,58.75,-111.1166667,210,FORT CHIPEWYAN 58 45 111 7 210 19730206 20030401 103
ALE-07HF801,Alberta Environment,FORT VERMILION,58.38333333,-116.0333333,280,FORT VERMILION 58 23 116 2 280 19680201 20030401 131
ALE-05CA807,Alberta Environment,GABLE MOUNTAIN,51.63333333,-115.75,2150,GABLE MOUNTAIN 51 38 115 45 2150 19810401 20030528 88
ALE-05FC801,Alberta Environment,GADSBY,52.31666667,-112.3833333,790,GADSBY 52 19 112 23 790 19730314 20030327 70
ALE-05AA809,Alberta Environment,GARDINER H.W.,49.35,-114.0166667,1970,GARDINER H.W. 49 21 114 1 1970 19840201 20030528 91
ALE-07GJ801,Alberta Environment,GIROUXVILLE,55.76666667,-117.3333333,560,GIROUXVILLE 55 46 117 20 560 19730320 20030402 73
ALE-05DA805,Alberta Environment,GOLDEN EAGLE,51.83333333,-116.95,2090,GOLDEN EAGLE 51 50 116 57 2090 19850226 20030429 50
ALE-07CA801,Alberta Environment,GRASSLAND,54.81666667,-112.6833333,570,GRASSLAND 54 49 112 41 570 19730316 20030327 72
ALE-05AH802,Alberta Environment,GROS VENTRE MID.,49.65,-110.3666667,1220,GROS VENTRE MID. 49 39 110 22 1220 19800125 20030220 49
ALE-05AH803,Alberta Environment,GROS VENTRE UPP.,49.63333333,-110.3166667,1460,GROS VENTRE UPP. 49 38 110 19 1460 19800220 20030219 47
ALE-07JF801,Alberta Environment,HIGH LEVEL,58.51666667,-117.1833333,330,HIGH LEVEL 58 31 117 11 330 19860304 20030401 37
ALE-07BF801,Alberta Environment,HIGH PRAIRIE,55.4,-116.45,610,HIGH PRAIRIE 55 24 116 27 610 19730320 20030402 74
ALE-07KF801,Alberta Environment,HIGHROCK TOWER,58.8,-111.55,210,HIGHROCK TOWER 58 48 111 33 210 19730326 20030327 92
ALE-05BL802,Alberta Environment,HIGHWOOD S. BUSH,50.6,-114.9833333,2210,HIGHWOOD S. BUSH 50 36 114 59 2210 19630329 20030527 192
ALE-05BL801,Alberta Environment,HIGHWOOD S. OPEN,50.58333333,-114.9833333,2210,HIGHWOOD S. OPEN 50 35 114 59 2210 19630329 19790504 42
ALE-07AC801,Alberta Environment,HINTON,53.53333333,-117.95,1240,HINTON 53 32 117 57 1240 19740405 20030331 57
ALE-07AC801X,Alberta Environment,HINTON,53.53333333,-117.95,1240,HINTON 53 32 117 57 1240 19730321 19850328 35
ALE-05CC803,Alberta Environment,HOADLEY,52.81666667,-114.3833333,970,HOADLEY 52 49 114 23 970 19720308 20030328 72
ALE-07GD801,Alberta Environment,HYTHE,55.31666667,-119.5666667,740,HYTHE 55 19 119 34 740 19730315 20030328 73
ALE-05AE804,Alberta Environment,ICEBERG LAKE,48.83333333,-113.7166667,1710,ICEBERG LAKE 48 50 113 43 1710 19510505 20030501 54
ALE-05CE801,Alberta Environment,INNISFAIL EAST,52.01666667,-113.5833333,910,INNISFAIL EAST 52 1 113 35 910 19730307 20030327 69
ALE-07DD802,Alberta Environment,JACKFISH VILLAGE,58.41666667,-110.9333333,210,JACKFISH VILLAGE 58 25 110 56 210 19730314 20030404 90
ALE-05CA803,Alberta Environment,JAMES RIVER,51.9,-115,1210,JAMES RIVER 51 54 115 0 1210 19730320 20030402 70
ALE-05DD805,Alberta Environment,JOB CREEK,52.58333333,-117.3,2005,JOB CREEK 52 35 116 78 2005 19930224 20030429 17
ALE-05DD803,Alberta Environment,JOB LAKE,52.35,-116.8,2100,JOB LAKE 52 21 116 48 2100 19850226 20030429 49
ALE-05AE808,Alberta Environment,JOSEPHINE LOWER,48.78333333,-113.6666667,1490,JOSEPHINE LOWER 48 47 113 40 1490 19550504 20030430 50
ALE-05BA814,Alberta Environment,KATHERINE LAKE,51.68333333,-116.3833333,2380,KATHERINE LAKE 51 41 116 23 2380 19800327 20030528 81
ALE-07HF802,Alberta Environment,KEG RIVER,57.63333333,-117.5666667,440,KEG RIVER 57 38 117 34 440 19860304 20030331 36
ALE-07BJ805,Alberta Environment,KINUSO,55.33333333,-115.4,640,KINUSO 55 20 115 24 640 19730319 20030401 73
ALE-05CE802,Alberta Environment,KNEEHILL VALLEY,52,-113.7,970,KNEEHILL VALLEY 52 0 113 42 970 19730320 20030327 70
ALE-05BA812,Alberta Environment,LARCH VALLEY,51.31666667,-116.2166667,2230,LARCH VALLEY 51 19 116 13 2230 19790328 20030528 93
ALE-05DF801,Alberta Environment,LEDUC,53.26666667,-113.55,730,LEDUC 53 16 113 33 730 19730316 20030328 73
ALE-05AE811,Alberta Environment,"LEE CREEK ""D""",49.01666667,-113.6166667,1660,"LEE CREEK ""D"" 49 1 113 37 1660 19710303 19860326 25"
ALE-05AE812,Alberta Environment,"LEE CREEK ""E""",49.01666667,-113.65,1675,"LEE CREEK ""E"" 49 1 113 39 1675 19710303 19860326 20"
ALE-05AE813,Alberta Environment,"LEE CREEK ""F""",49.05,-113.4833333,1570,"LEE CREEK ""F"" 49 3 113 29 1570 19710303 19860326 23"
ALE-05AE815,Alberta Environment,"LEE CREEK ""H""",48.96666667,-113.5333333,1646,"LEE CREEK ""H"" 48 58 113 32 1646 19710304 19820331 15"
ALE-05AE816,Alberta Environment,"LEE CREEK ""J""",48.98333333,-113.6,1645,"LEE CREEK ""J"" 48 59 113 36 1645 19710304 19820331 16"
ALE-05AE810,Alberta Environment,"LEE CREEK ""P""",49.03333333,-113.5666667,1525,"LEE CREEK ""P"" 49 2 113 34 1525 19710301 19860326 28"
ALE-05AE814,Alberta Environment,"LEE CREEK ""Q""",49.05,-113.6,1500,"LEE CREEK ""Q"" 49 3 113 36 1500 19710301 20030331 69"
ALE-05DB802,Alberta Environment,LIMESTONE,51.9,-115.4333333,1950,LIMESTONE 51 54 115 26 1950 19830127 20030527 110
ALE-05BJ805,Alberta Environment,LITTLE ELBOW,50.7,-114.9833333,2225,LITTLE ELBOW 50 42 114 59 2225 19790131 20030527 158
ALE-07GG801,Alberta Environment,LITTLE SMOKY,54.73333333,-117.15,660,LITTLE SMOKY 54 44 117 9 660 19730314 20030402 70
ALE-07BA802,Alberta Environment,LODGEPOLE,53.5,-115.35,850,LODGEPOLE 53 30 115 21 850 19610315 20030331 86
ALE-05BL811,Alberta Environment,LOST CREEK,50.16666667,-114.7166667,2160,LOST CREEK 50 10 114 43 2160 19840201 20030528 102
ALE-05FB801,Alberta Environment,LOUGHEED,52.66666667,-111.55,670,LOUGHEED 52 40 111 33 670 19730312 20030327 69
ALE-13A27,Alberta Environment,M GLACIER PILLOW,48.8,-113.6666667,1494,M GLACIER PILLOW 48 48 113 40 1494 19770101 20030601 182
ALE-13A27X,Alberta Environment,M GLACIER SNOW C,48.8,-113.6666667,1494,M GLACIER SNOW C 48 48 113 40 1494 19770103 20030327 78
ALE-05FE801,Alberta Environment,MANNVILLE,53.16666667,-111.2,670,MANNVILLE 53 10 111 12 670 19730313 20030328 68
ALE-13A05,Alberta Environment,MARIAS PASS,48.31666667,-113.35,1600,MARIAS PASS 48 19 113 21 1600 19510102 20030501 266
ALE-07AA803,Alberta Environment,MARMOT-JASPER,52.8,-118.0833333,1830,MARMOT-JASPER 52 48 118 5 1830 19700403 20030401 98
ALE-07BB809,Alberta Environment,MAYERTHORPE S.P.,53.86666667,-115.3166667,760,MAYERTHORPE S.P. 53 52 115 19 760 19820201 20030402 63
ALE-05CA806,Alberta Environment,MCCONNELL CREEK,51.68333333,-115.9833333,2130,MCCONNELL CREEK 51 41 115 59 2130 19810227 20030528 89
ALE-07BB803,Alberta Environment,MEADOWVIEW,54,-114.6666667,670,MEADOWVIEW 54 0 114 40 670 19600316 20030331 83
ALE-05AD802,Alberta Environment,MIDDLE DRYWOOD,49.25,-114.05,1570,MIDDLE DRYWOOD 49 15 114 3 1570 19630326 19850326 20
ALE-13A16,Alberta Environment,MINERAL CREEK,48.76666667,-113.8166667,1219,MINERAL CREEK 48 46 113 49 1219 19510302 20030429 145
ALE-05BA806,Alberta Environment,MIRROR LAKE,51.41666667,-116.2333333,2030,MIRROR LAKE 51 25 116 14 2030 19400329 20030401 138
ALE-05BL806,Alberta Environment,MIST  CREEK,50.51666667,-114.8333333,1790,MIST CREEK 50 31 114 50 1790 19650507 20030429 64
ALE-05AH806,Alberta Environment,MITCHELL CK LOW.,49.66666667,-110.3166667,1230,MITCHELL CK LOW. 49 40 110 19 1230 19820120 20030201 48
ALE-05AH807,Alberta Environment,MITCHELL CK UPP.,49.61666667,-110.3,1450,MITCHELL CK UPP. 49 37 110 18 1450 19820120 20030219 44
ALE-05EA802,Alberta Environment,MORINVILLE,53.85,-113.4833333,700,MORINVILLE 53 51 113 29 700 19730319 20030401 73
ALE-05AE806,Alberta Environment,MOUNT ALLEN,48.76666667,-113.6833333,1740,MOUNT ALLEN 48 46 113 41 1740 19510504 20030430 54
ALE-05BL808,Alberta Environment,MOUNT ODLUM,50.48333333,-114.8666667,1860,MOUNT ODLUM 50 29 114 52 1860 19810127 19820531 9
ALE-05BL812,Alberta Environment,MOUNT ODLUM III,50.48333333,-114.9166667,2130,MOUNT ODLUM III 50 29 114 55 2130 19841227 20030527 120
ALE-05BF821,Alberta Environment,MUD LAKE,50.78333333,-115.3166667,1910,MUD LAKE 50 47 115 19 1910 19730502 20030527 160
ALE-05DA804,Alberta Environment,NIGEL CREEK,52.2,-117.0833333,1920,NIGEL CREEK 52 12 117 5 1920 19680326 20030401 133
ALE-05DC801,Alberta Environment,NORDEGG,52.45,-116.1,1060,NORDEGG 52 27 116 6 1060 19740330 20030401 58
ALE-05DC801X,Alberta Environment,NORDEGG,52.4,-116.1333333,1060,NORDEGG 52 24 116 8 1060 19730322 19850327 33
ALE-07HC801,Alberta Environment,NORTH STAR,56.86666667,-117.6333333,490,NORTH STAR 56 52 117 38 490 19730321 20030331 67
ALE-07AD801,Alberta Environment,OBED,53.56666667,-117.2166667,1090,OBED 53 34 117 13 1090 19730321 20030331 71
ALE-05EA803,Alberta Environment,ONOWAY,53.71666667,-114.1666667,700,ONOWAY 53 43 114 10 700 19730314 20030331 72
ALE-07BB811,Alberta Environment,PADDLE RIVER H.W.,53.86666667,-115.3166667,760,PADDLE RIVER H.W. 53 52 115 19 760 19740206 20030402 34
ALE-05AE805,Alberta Environment,PEIGAN PASS,48.76666667,-113.7,1680,PEIGAN PASS 48 46 113 42 1680 19510504 20030430 54
ALE-07CA802,Alberta Environment,PERRYVALE,54.46666667,-113.1666667,670,PERRYVALE 54 28 113 10 670 19730316 20030327 73
ALE-13A26X,Alberta Environment,PIKE CK. PILLOW,48.3,-113.3333333,1807,PIKE CK. PILLOW 48 18 113 20 1807 19770101 20030601 163
ALE-13A26,Alberta Environment,PIKE CK. SNOW C.,48.3,-113.3333333,1807,PIKE CK. SNOW C. 48 18 113 20 1807 19770123 20030325 38
ALE-05FA802,Alberta Environment,PIPESTONE CREEK,53.06666667,-113.8166667,790,PIPESTONE CREEK 53 4 113 49 790 19760128 19870401 40
ALE-05BA802,Alberta Environment,PIPESTONE UPPER,51.43333333,-116.1666667,1615,PIPESTONE UPPER 51 26 116 10 1615 19370330 20030401 141
ALE-05BA810,Alberta Environment,PTARMIGAN HUT,51.46666667,-116.1,2190,PTARMIGAN HUT 51 28 116 6 2190 19670330 20030528 133
ALE-05AE807,Alberta Environment,PTARMIGAN LAKE,48.83333333,-113.7166667,1770,PTARMIGAN LAKE 48 50 113 43 1770 19510505 20030501 54
ALE-05AA806,Alberta Environment,RACE HORSE CREEK,49.81666667,-114.6333333,1920,RACE HORSE CREEK 49 49 114 38 1920 19830128 19910501 50
ALE-05AH804,Alberta Environment,ROSS CREEK LOW.,49.68333333,-110.2666667,1220,ROSS CREEK LOW. 49 41 110 16 1220 19800125 20030220 49
ALE-05AH808,Alberta Environment,ROSS CREEK UPP.,49.66666667,-110.2333333,1430,ROSS CREEK UPP. 49 40 110 14 1430 19820120 20030219 42
ALE-07FD803,Alberta Environment,RYCROFT,55.7,-118.7333333,630,RYCROFT 55 42 118 44 630 19730320 20030328 72
ALE-07BK801,Alberta Environment,SAULTEAUX RIVER,55.16666667,-114.2333333,570,SAULTEAUX RIVER 55 10 114 14 570 19730319 20030401 73
ALE-07GE803,Alberta Environment,SEXSMITH,55.41666667,-118.8666667,780,SEXSMITH 55 25 118 52 780 19730316 20030328 73
ALE-05CA805,Alberta Environment,SKOKI MOUNTAIN,51.53333333,-116.05,2060,SKOKI MOUNTAIN 51 32 116 3 2060 19790328 20030528 112
ALE-05AA817,Alberta Environment,SOUTH RACE HORSE CREEK,50.3,-114.1,1920,SOUTH RACE HORSE CREEK 49 78 114 6 1920 19911127 20030528 55
ALE-05DD804,Alberta Environment,SOUTHESK,52.66666667,-117.2166667,2200,SOUTHESK 52 40 117 13 2200 19860226 20030429 45
ALE-07GF807,Alberta Environment,SPRING CREEK#1,54.95,-117.75,720,SPRING CREEK#1 54 57 117 45 720 19670130 20030331 122
ALE-07GF808,Alberta Environment,SPRING CREEK#2,54.91666667,-117.8166667,650,SPRING CREEK#2 54 55 117 49 650 19670130 19870330 91
ALE-07GF809,Alberta Environment,SPRING CREEK#3,54.95,-117.6833333,730,SPRING CREEK#3 54 57 117 41 730 19670130 19870330 89
ALE-07GF810,Alberta Environment,SPRING CREEK#4,54.91666667,-117.6833333,740,SPRING CREEK#4 54 55 117 41 740 19670130 19870330 86
ALE-05ED802,Alberta Environment,ST PAUL,53.98333333,-111.0166667,640,ST PAUL 53 59 111 1 640 19730320 20030331 72
ALE-14A12,Alberta Environment,STAHL PEAK,49.51666667,-115.4333333,1838,STAHL PEAK 48 91 114 86 1838 19610401 20030331 137
ALE-14A12S,Alberta Environment,STAHL PEAK PILLOW,49.51666667,-115.4333333,1838,STAHL PEAK PILLOW 48 91 114 86 1838 19610101 20030601 250
ALE-07GH801,Alberta Environment,STURGEON HEIGHTS,53.06666667,-117.6833333,720,STURGEON HEIGHTS 53 4 117 41 720 19880302 20030331 33
ALE-05CB801,Alberta Environment,SUNDRE,51.78333333,-114.5166667,1060,SUNDRE 51 47 114 31 1060 19720315 20030402 72
ALE-05BB803,Alberta Environment,SUNSHINE VILLAGE,51.08333333,-115.7833333,2230,SUNSHINE VILLAGE 51 5 115 47 2230 19670331 20030529 193
ALE-07AA802,Alberta Environment,SUNWAPTA FALLS,52.55,-117.65,1400,SUNWAPTA FALLS 52 33 117 39 1400 19680328 20030401 133
ALE-07KF802,Alberta Environment,SWEETGRASS,58.85,-112,210,SWEETGRASS 58 51 112 0 210 19770128 20030331 78
ALE-05BC801,Alberta Environment,TENT RIDGE,50.85,-115.3666667,2025,TENT RIDGE 50 51 115 22 2025 19810127 20030527 143
ALE-11AB801,Alberta Environment,THELMA CREEK,49.56666667,-110.2666667,1295,THELMA CREEK 49 34 110 16 1295 19820412 19870216 9
ALE-05BF824,Alberta Environment,THREE ISLE LAKE,50.63333333,-115.2833333,2160,THREE ISLE LAKE 50 38 115 17 2160 19810226 20030527 137
ALE-07BB814,Alberta Environment,TWIN LAKES,54.05,-114.8,655,TWIN LAKES 54 3 114 48 655 19820201 20030331 74
ALE-05EE801,Alberta Environment,TWO HILLS,53.71666667,-111.7166667,640,TWO HILLS 53 43 111 43 640 19730320 20030331 72
ALE-05FD802,Alberta Environment,WAINWRIGHT,52.71666667,-110.6166667,670,WAINWRIGHT 52 43 110 37 670 19730313 20030328 69
ALE-05EC802,Alberta Environment,WASKATENAU,54.18333333,-112.8333333,640,WASKATENAU 54 11 112 50 640 19730319 20030327 73
ALE-05DA806,Alberta Environment,WATCHMAN CREEK,52.05,-117.25,1830,WATCHMAN CREEK 52 3 117 15 1830 19850226 20030429 48
ALE-05AA801,Alberta Environment,WEST CASTLE BUSH,49.28333333,-114.3666667,1520,WEST CASTLE BUSH 49 17 114 22 1520 19670404 20030429 102
ALE-05AA805,Alberta Environment,WEST CASTLE SNOW,49.28333333,-114.3666667,1524,WEST CASTLE SNOW 49 17 114 22 1524 19780206 19810501 14
ALE-07BC801,Alberta Environment,WESTLOCK,54,-113.9666667,700,WESTLOCK 54 0 113 58 700 19590315 20030327 86
ALE-05FA801,Alberta Environment,WETASKIWIN,52.98333333,-113.6333333,790,WETASKIWIN 52 59 113 38 790 19730308 20030328 69
ALE-07AG803,Alberta Environment,WHITECOURT,54.08333333,-115.6,790,WHITECOURT 54 5 115 36 790 19730314 20030402 72
ALE-05BL804,Alberta Environment,WILKINSON S.BUSH,50.2,-114.55,1980,WILKINSON S.BUSH 50 12 114 33 1980 19630327 20030429 77
ALE-05BL805,Alberta Environment,WILKINSON S.OPEN,50.2,-114.55,1980,WILKINSON S.OPEN 50 12 114 33 1980 19640302 20030429 76
BCE-AK01,British Columbia Environment,UPPER LONG LAKE,58.18333333,-133.7166667,300,UPPER LONG LAKE 58 11 133 43 300 19650303 19750430 43
BCE-AK02,British Columbia Environment,LONG LAKE,58.2,-133.7833333,330,LONG LAKE 58 12 133 47 330 19650303 19750430 43
BCE-AK03,British Columbia Environment,SPEEL RIVER,58.15,-133.7166667,80,SPEEL RIVER 58 9 133 43 80 19650303 19960425 94
BCE-AK04,British Columbia Environment,CRATER LAKE,58.13333333,-133.7833333,530,CRATER LAKE 58 8 133 47 530 19650303 19750430 42
BCE-AL04,British Columbia Environment,STORM CREEK,50.56666667,-114.95,2070,STORM CREEK 50 34 114 57 2070 19630329 19780426 14
BCE-AL09,British Columbia Environment,SARBACH UPPER,51.91666667,-116.75,1830,SARBACH UPPER 51 55 116 45 1830 19550406 19780329 9
BCE-ID01,British Columbia Environment,SMITH CREEK,48.88333333,-116.75,1460,SMITH CREEK 48 53 116 45 1460 19370228 19960502 115
BCE-MT01,British Columbia Environment,KISHENEHN,48.96666667,-114.4166667,1190,KISHENEHN 48 58 114 25 1190 19460306 19960328 101
BCE-MT02,British Columbia Environment,WEASEL DIVIDE,48.95,-114.7333333,1660,WEASEL DIVIDE 48 57 114 44 1660 19370430 19960501 237
BCE-MT03,British Columbia Environment,BRUSH CREEK TIMBER,48.36666667,-114.8666667,1520,BRUSH CREEK TIMBER 48 22 114 52 1520 19490301 19960501 128
BCE-MT04,British Columbia Environment,RED MOUNTAIN,48.91666667,-115.35,1830,RED MOUNTAIN 48 55 115 21 1830 19370303 19960603 244
BCE-MT05,British Columbia Environment,BANFIELD MOUNTAIN,48.56666667,-115.45,1710,BANFIELD MOUNTAIN 48 34 115 27 1710 19690108 19960330 120
BCE-MT06,British Columbia Environment,HAWKINS LAKE,48.96666667,-115.95,1970,HAWKINS LAKE 48 58 115 57 1970 19690205 19960329 128
BCE-WA01,British Columbia Environment,BUNCHGRASS MEADOW,48.7,-117.1833333,1520,BUNCHGRASS MEADOW 48 42 117 11 1520 19370226 19960429 125
BCE-WA02,British Columbia Environment,BAIRD,48.63333333,-117.55,980,BAIRD 48 38 117 33 980 19590202 19960327 106
BCE-WA03,British Columbia Environment,BUTTE CREEK,48.85,-118.3666667,1240,BUTTE CREEK 48 51 118 22 1240 19601229 19810428 101
BCE-WA04,British Columbia Environment,GOAT CREEK,48.85,-118.35,1100,GOAT CREEK 48 51 118 21 1100 19601229 19960329 116
BCE-WA05,British Columbia Environment,SUMMIT G.S.,48.86666667,-118.4,1400,SUMMIT G.S. 48 52 118 24 1400 19601229 19960328 140
BCE-WA06,British Columbia Environment,CABIN CREEK,48.81666667,-118.2833333,970,CABIN CREEK 48 49 118 17 970 19601229 19810326 90
BCE-WA07,British Columbia Environment,MUTTON CREEK NO.1,48.66666667,-119.8666667,1740,MUTTON CREEK NO.1 48 40 119 52 1740 19380430 19960327 181
BCE-WA08,British Columbia Environment,MUTTON CREEK NO.2,48.7,-119.8666667,1830,MUTTON CREEK NO.2 48 42 119 52 1830 19460227 19780426 121
BCE-WA09,British Columbia Environment,HARTS PASS,48.71666667,-120.65,1980,HARTS PASS 48 43 120 39 1980 19410331 19960530 202
BCE-WA10,British Columbia Environment,FREEZEOUT MEADOW (NEW),48.86666667,-120.85,1520,FREEZEOUT MEADOW (NEW) 48 52 120 51 1520 19720307 19860129 53
BCE-WA11,British Columbia Environment,FREEZEOUT CREEK TRAIL,48.95,-120.95,1070,FREEZEOUT CREEK TRAIL 48 57 120 57 1070 19440228 19960429 171
BCE-WA12,British Columbia Environment,BEAVER PASS,48.91666667,-121.3,1120,BEAVER PASS 48 55 121 18 1120 19440224 19960530 180
BCE-WA13,British Columbia Environment,EASY PASS,48.86666667,-121.4333333,1580,EASY PASS 48 52 121 26 1580 19590130 19960328 178
BCE-WA14,British Columbia Environment,PANORAMA NEW,48.86666667,-121.6,1310,PANORAMA NEW 48 52 121 36 1310 19690126 19810503 53
BCE-YK01,British Columbia Environment,WATSON LAKE A,60.11666667,-128.8333333,700,WATSON LAKE A 60 7 128 50 700 19650101 19960426 107
BCE-YK02,British Columbia Environment,FRANCES RIVER,60.58333333,-129.1833333,730,FRANCES RIVER 60 35 129 11 730 19760302 19960426 69
BCE-YK03,British Columbia Environment,PINE LK AIRSTRIP,60.1,-130.9333333,1010,PINE LK AIRSTRIP 60 6 130 56 1010 19760301 19960429 80
BCE-YK04,British Columbia Environment,TAGISH,60.28333333,-134.1833333,1080,TAGISH 60 17 134 11 1080 19760229 19960426 75
BCE-YK05,British Columbia Environment,MONTANA MTN.,60.13333333,-134.7333333,1020,MONTANA MTN. 60 8 134 44 1020 19760229 19920514 64
BCE-1A01,British Columbia Environment,YELLOWHEAD,52.9,-118.55,1860,YELLOWHEAD 52 54 118 33 1860 19500331 20030425 260
BCE-1A01P,British Columbia Environment,YELLOWHEAD - PILLOW,52.9,-118.55,1860,YELLOWHEAD - PILLOW 52 54 118 33 1860 1990101 20030601 56
BCE-1A02,British Columbia Environment,MC BRIDE (UPPER),53.3,-120.3166667,1580,MC BRIDE (UPPER) 53 18 120 19 1580 19500302 20030509 284
BCE-1A03,British Columbia Environment,BARKERVILLE,53.05,-121.4833333,1520,BARKERVILLE 53 3 121 29 1520 19510131 19991230 338
BCE-1A03P,British Columbia Environment,BARKERVILLE - PILLOW,53.05,-121.4833333,1520,BARKERVILLE - PILLOW 53 3 121 29 1520 19690301 20030615 184
BCE-1A04,British Columbia Environment,NECHAKO,53.58333333,-124.95,940,NECHAKO 53 35 124 57 940 19520302 19650331 37
BCE-1A05,British Columbia Environment,LONGWORTH (UPPER),53.95,-121.4333333,1740,LONGWORTH (UPPER) 53 57 121 26 1740 19530227 20031226 288
