"Reporting_Year / Année_Déclaration","NPRI_ID / No_INRP","Company_Name / Dénomination_sociale_de_l'entreprise","Facility_Name / Installation","Address / Adresse","City / Ville","Province / Province","Latitude / Latitude","Longitude / Longitude","Datum / Datum","NAICS 4 Code / SCIAN 4 Chiffre","NAICS 4 Sector Name (English) / Nom de secteur SCIAN 4 (Anglais)","NAICS 4 Sector Name (French) / Nom de secteur SCIAN 4 (Français)","NAICS 6 Code / SCIAN 6 Chiffre","NAICS 6 Sector Name (English) / Nom de secteur SCIAN 6 (Anglais)","NAICS 6 Sector Name (French)","Key Industrial Sector (English)","Secteur_Industriel_Clé (French)","Units / Unités","TOTAL_ALL_RELEASES / Rejet_Total_Tout","Symbol / Symbole"
2022,479,"Cariboo Pulp and Paper Company","Cariboo Pulp and Paper Company","50 North Star Road","Quesnel","BC","52.998","-122.483",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",209.01,1
2022,488,"Ingredion Canada Corporation","Ingredion Canada Corporation","4040 James Street","Cardinal","ON","44.785","-75.3767",1983.00,3112,"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",311221,"Wet corn milling","Mouture humide du maïs","Other Manufacturing","Autres fabrication
","Tonnes",2.72,1
2022,495,"City of Windsor","Lou Romano Water Reclamation Plant","4155 Ojibway Parkway","Windsor","ON","42.2833","-83.0864",1983.00,2213,"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",221320,"Sewage treatment facilities","Installations d'épuration des eaux usées","Water and Wastewater Systems","Systèmes d'eau et des eaux usées
","Tonnes",554.16,4
2022,672,"Mercer Celgar Limited Partnership","Mercer Celgar Limited Partnership","1921 Arrow Lakes Drive","Castlegar","BC","49.3357","-117.728",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",147.75,1
2022,770,"City of Ottawa","Robert O. Pickard Environmental Centre","800 Greens Creek Drive","Ottawa","ON","45.4606","-75.5908",1983.00,2213,"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",221320,"Sewage treatment facilities","Installations d'épuration des eaux usées","Water and Wastewater Systems","Systèmes d'eau et des eaux usées
","Tonnes",5553.21,4
2022,878,"Millar Western Forest Products Ltd.","Whitecourt Pulp Division","50 Mill Road","Whitecourt","AB","54.14321","-115.69522",1984.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322111,"Mechanical pulp mills","Usines de pâte mécanique","Pulp and Paper","Pâte à papier et papier
","Tonnes",16.57,1
2022,928,"Domtar Inc.","Dryden Mill","1  Duke Street","Dryden","ON","49.7831","-92.8472",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",153.02,1
2022,929,"Produits forestiers Résolu","Usine de Gatineau","79 Main","Gatineau","QC","45.4808","-75.6556",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322122,"Newsprint mills","Usines de papier journal","Pulp and Paper","Pâte à papier et papier
","Tonnes",55.03,1
2022,930,"Produits forestiers Résolu","Resolute Forest Products - Thunder Bay Operations","2001 Neebing  Avenue","Thunder Bay","ON","48.3486","-89.3067",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",134.22,1
2022,941,"Lantic Inc. - Vancouver Refinery","Lantic Inc. - Vancouver Refinery","0 123 Rogers Street","Vancouver","BC","49.2841","-123.0802",1983.00,3113,"Sugar and confectionery product manufacturing","Fabrication de sucre et de confiseries",311310,"Sugar manufacturing","Fabrication de sucre","Other Manufacturing","Autres fabrication
","Tonnes",4.25,1
2022,947,"Lantic Inc. Taber Factory","Lantic Inc. Taber Beet Sugar Factory","0 5405 64th Street Street","Taber","AB","49.7894","-112.1261",1983.00,3113,"Sugar and confectionery product manufacturing","Fabrication de sucre et de confiseries",311310,"Sugar manufacturing","Fabrication de sucre","Other Manufacturing","Autres fabrication
","Tonnes",81.16,1
2022,979,"Produits forestiers Résolu","Usine Kénogami","3750 de Champlain","Saguenay","QC","48.4289","-71.2437",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322122,"Newsprint mills","Usines de papier journal","Pulp and Paper","Pâte à papier et papier
","Tonnes",32.57,1
2022,983,"Produits forestiers Résolu","Division Alma","1100 Melanion Street","Alma","QC","48.565","-71.6558",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322111,"Mechanical pulp mills","Usines de pâte mécanique","Pulp and Paper","Pâte à papier et papier
","Tonnes",157.82,1
2022,1028,"Alberta Newsprint Co.","ALBERTA NEWSPRINT","43 Highway North","Whitecourt","AB","54.1791","-115.806",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322122,"Newsprint mills","Usines de papier journal","Pulp and Paper","Pâte à papier et papier
","Tonnes",3.30,1
2022,1070,"Algoma Steel Inc.","Algoma Steel Inc","105 West Street North","Sault Ste. Marie","ON","46.5208","-84.3697",1983.00,3311,"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",331110,"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie","Iron and Steel","Fer et acier
","Tonnes",130.86,1
2022,1106,"AltaSteel Inc.","AltaSteel Inc.","9401 34th Street","Edmonton","AB","53.5291","-113.3875",1983.00,3311,"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",331110,"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie","Iron and Steel","Fer et acier
","Tonnes",0.01,1
2022,1136,"Bombardier Inc.","Usine St-Laurent","1800 Marcel-Laurin","Saint-Laurent","QC","45.5139","-73.7",1983.00,3364,"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",336410,"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces","Transportation Equipment Mfg.","Fabrication de matériel de transport
","Tonnes",4.2109e-03,1
2022,1147,"Cameco Corporation","Rabbit Lake Operation","2121 11th Street West","Saskatoon","SK","58.1938","-103.7158",1983.00,2122,"Metal ore mining","Extraction de minerais métalliques",212291,"Uranium ore mining","Extraction de minerais d'uranium","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",2.937e-03,1
2022,1148,"Cameco Corporation","Key Lake Operation","2121 11th Street West","Saskatoon","SK","57.2122","-105.6788",1983.00,2122,"Metal ore mining","Extraction de minerais métalliques",212291,"Uranium ore mining","Extraction de minerais d'uranium","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",24.10,1
2022,1149,"Cameco Corporation","McArthur River Operation","2121 11th Street West","Saskatoon","SK","57.7622","-105.05",1983.00,2122,"Metal ore mining","Extraction de minerais métalliques",212291,"Uranium ore mining","Extraction de minerais d'uranium","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",2.8e-05,1
2022,1175,"Nutrien (Canada) Holdings ULC.","Joffre Nitrogen Operations","39015 815 Highway","Lacombe County","AB","52.3221","-113.5166",1983.00,3253,"Pesticide, fertilizer and other agricultural chemical manufacturing","Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",325313,"Chemical fertilizer (except potash) manufacturing","Fabrication d'engrais chimiques (sauf la potasse)","Chemicals","Produits chimiques
","Tonnes",6.8e-03,1
2022,1185,"Skookumchuck Pulp Inc.","Skookumchuck Operation","4501 Farstad Way","Skookumchuck","BC","49.9151","-115.7579",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",83.39,1
2022,1195,"Domtar Inc.","Domtar Usine de Windsor","609 rang 12","Windsor","QC","45.5644","-71.979",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322121,"Paper (except newsprint) mills","Usines de papier (sauf le papier journal)","Pulp and Paper","Pâte à papier et papier
","Tonnes",136.06,1
2022,1207,"INVISTA (Canada) Company","INVISTA (Canada) Company-Maitland Site","1400 County #2 Road East","Maitland","ON","44.6606","-75.6017",1983.00,3251,"Basic chemical manufacturing","Fabrication de produits chimiques de base",325190,"Other basic organic chemical manufacturing","Fabrication d'autres produits chimiques organiques de base","Chemicals","Produits chimiques
","Tonnes",0.04,1
2022,1221,"Twin Rivers Paper Company Inc.","Edmundston Pulp Mill","27 Rice Street","Edmundston","NB","47.36897","-68.33206",1984.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",407.08,1
2022,1233,"Glencore Canada Corporation","Sudbury Operations Mines Mill - Onaping Area","Strathcona Services Bldg Street","Onaping","ON","46.6742","-81.3425",1983.00,2122,"Metal ore mining","Extraction de minerais métalliques",212232,"Nickel-copper ore mining","Extraction de minerais de nickel-cuivre","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",54.12,1
2022,1236,"Glencore Canada Corporation","Sudbury Integrated Nickel Operations Smelter","2 Longyear Drive","Falconbridge","ON","46.5775","-80.8042",1983.00,3314,"Non-ferrous metal (except aluminum) production and processing","Production et transformation de métaux non ferreux (sauf l'aluminium)",331410,"Non-ferrous metal (except aluminum) smelting and refining","Fonte et affinage de métaux non ferreux (sauf l'aluminium)","Metals (Except Aluminum and Iron and Steel)","Métaux (sauf aluminium et fer et acier)
","Tonnes",1.47,1
2022,1257,"Canfor Pulp Ltd.","Canfor Taylor Pulp","0 8300 Cherry Avenue East","Taylor","BC","56.145","-120.651",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322111,"Mechanical pulp mills","Usines de pâte mécanique","Pulp and Paper","Pâte à papier et papier
","Tonnes",0.19,1
2022,1266,"Catalyst Paper Corporation","Crofton Division","8541 Hay Road North","Crofton","BC","48.875","-123.645",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",192.38,1
2022,1329,"ContiTech Canada Inc.","Usine Granford","127 rang Parent","St-Alphonse de Granby","QC","45.34317","-72.80522",1984.00,3262,"Rubber product manufacturing","Fabrication de produits en caoutchouc",326220,"Rubber and plastic hose and belting manufacturing","Fabrication de tuyaux souples et de courroies en caoutchouc et en plastique","Plastics and Rubber","Plastiques et caoutchouc
","Tonnes",0.11,1
2022,1338,"Greater Vancouver Sewerage and Drainage District","Annacis Island Wastewater Treatment Plant","1299  Derwent Way","Delta","BC","49.1661","-122.952",1983.00,2213,"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",221320,"Sewage treatment facilities","Installations d'épuration des eaux usées","Water and Wastewater Systems","Systèmes d'eau et des eaux usées
","Tonnes",7219.60,4
2022,1340,"Greater Vancouver Sewerage and Drainage District","Lulu Island Wastewater Treatment Plant","13500  Gilbert Road","Richmond","BC","49.1147","-123.145",1983.00,2213,"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",221320,"Sewage treatment facilities","Installations d'épuration des eaux usées","Water and Wastewater Systems","Systèmes d'eau et des eaux usées
","Tonnes",1034.87,3
2022,1342,"Greater Vancouver Sewerage and Drainage District","Lions Gate Wastewater Treatment Plant","101  Bridge Road","West Vancouver","BC","49.3195","-123.136",1983.00,2213,"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",221320,"Sewage treatment facilities","Installations d'épuration des eaux usées","Water and Wastewater Systems","Systèmes d'eau et des eaux usées
","Tonnes",766.72,4
2022,1383,"Nanaimo Forest Products Ltd.","Harmac Pacific Operations","1000 Wave Place","Nanaimo","BC","49.1369","-123.8564",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",153.57,1
2022,1419,"Howe Sound Pulp & Paper Corporation","Howe Sound Pulp and Paper Mill","3838 Port Mellon Highway","Port Mellon","BC","49.5237","-123.4837",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",55.50,1
2022,1464,"Imperial Oil","Sarnia Chemical Plant","602  Christina Street South","Sarnia","ON","42.9544","-82.4153",1983.00,3251,"Basic chemical manufacturing","Fabrication de produits chimiques de base",325110,"Petrochemical manufacturing","Fabrication de produits pétrochimiques","Chemicals","Produits chimiques
","Tonnes",2.02,1
2022,1465,"Vale Canada Limited","Clarabelle Mill","1 1701 Elm  Street","Copper Cliff","ON","46.495","-81.0561",1983.00,2122,"Metal ore mining","Extraction de minerais métalliques",212232,"Nickel-copper ore mining","Extraction de minerais de nickel-cuivre","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",116.55,1
2022,1471,"Vale Canada Limited","Port Colborne Refinery","187 Davis Street","Port Colborne","ON","42.8826","-79.2405",1983.00,3314,"Non-ferrous metal (except aluminum) production and processing","Production et transformation de métaux non ferreux (sauf l'aluminium)",331410,"Non-ferrous metal (except aluminum) smelting and refining","Fonte et affinage de métaux non ferreux (sauf l'aluminium)","Metals (Except Aluminum and Iron and Steel)","Métaux (sauf aluminium et fer et acier)
","Tonnes",1.73,1
2022,1473,"Vale Canada Ltd","Thompson Operations","1 Inco Road","Thompson","MB","55.71286","-97.85106",1984.00,2122,"Metal ore mining","Extraction de minerais métalliques",212232,"Nickel-copper ore mining","Extraction de minerais de nickel-cuivre","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",6.78,1
2022,1492,"Arkema Canada Inc.","Usine de Bécancour","655 Alphonse-Deshaies Boulevard","Bécancour","QC","46.3841","-72.3735",1983.00,3251,"Basic chemical manufacturing","Fabrication de produits chimiques de base",325189,"All other basic inorganic chemical manufacturing","Fabrication de tous les autres produits chimiques inorganiques de base","Chemicals","Produits chimiques
","Tonnes",0.08,1
2022,1525,"Papier Masson Ltée.","PAPIERS WHITE BIRCHmc - DIVISION PAPIER MASSON LTÉE","2 Chemin Montréal ouest Road","Gatineau","QC","45.5417","-75.425",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322122,"Newsprint mills","Usines de papier journal","Pulp and Paper","Pâte à papier et papier
","Tonnes",0.01,1
2022,1528,"Fortress Cellulose Spécialisée","Usine de Thurso","451 Victoria Street","Thurso","QC","45.5985","-75.2562",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",1.25,1
2022,1561,"KRONOS Canada, Inc.","KRONOS Canada, Inc.","3390 Marie-Victorin Boulevard","Varennes","QC","45.7125","-73.425",1983.00,3251,"Basic chemical manufacturing","Fabrication de produits chimiques de base",325189,"All other basic inorganic chemical manufacturing","Fabrication de tous les autres produits chimiques inorganiques de base","Chemicals","Produits chimiques
","Tonnes",20.60,1
2022,1568,"Agnico Eagle Mines","Macassa Mine","66 Highway","Kirkland Lake","ON","48.13032","-80.08734",1984.00,2122,"Metal ore mining","Extraction de minerais métalliques",212220,"Gold and silver ore mining","Extraction de minerais d'or et d'argent","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",95.67,1
2022,1572,"Lake Utopia Paper A Division of J.D. Irving, Limited","Lake Utopia Paper A Division of J.D. Irving, Limited","0 600 Route 785","Utopia","NB","45.1567","-66.7714",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322130,"Paperboard mills","Usines de carton","Pulp and Paper","Pâte à papier et papier
","Tonnes",0.06,1
2022,1593,"Catalyst Paper Corporation","Port Alberni Division","4000 Stamp Avenue","Port Alberni","BC","49.2478","-124.811",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322121,"Paper (except newsprint) mills","Usines de papier (sauf le papier journal)","Pulp and Paper","Pâte à papier et papier
","Tonnes",290.01,1
2022,1608,"Iamgold Corporation","La mine Doyon","2 Arthur Doyon Road","Preissac","QC","48.25856","-78.52673",1984.00,2122,"Metal ore mining","Extraction de minerais métalliques",212220,"Gold and silver ore mining","Extraction de minerais d'or et d'argent","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",37.95,1
2022,1611,"Glencore Canada Corporation","Mine Matagami","500 Industriel Boulevard","Matagami","QC","49.75421","-77.65945",1984.00,2122,"Metal ore mining","Extraction de minerais métalliques",212233,"Copper-zinc ore mining","Extraction de minerais de cuivre-zinc","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",2.17,1
2022,1651,"Gerdau Ameristeel Corporation","Gerdau Ameristeel Corporation, Manitoba Mill","27 Main Street","Selkirk","MB","50.1302","-96.9013",1983.00,3311,"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",331110,"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie","Iron and Steel","Fer et acier
","Tonnes",0.73,1
2022,1696,"New Brunswick Power Corporation","Coleson Cove Generating Station","4077 King William Road","Saint John","NB","45.1534","-66.2025",1983.00,2211,"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",221112,"Fossil-fuel electric power generation","Production d'électricité à partir de combustibles fossiles","Electricity","Électricité
","Tonnes",0.01,1
2022,1698,"New Brunswick Power Corporation","Belledune Generating Station","1558 Main Street","Belledune","NB","47.9058","-65.867",1983.00,2211,"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",221112,"Fossil-fuel electric power generation","Production d'électricité à partir de combustibles fossiles","Electricity","Électricité
","Tonnes",0.03,1
2022,1710,"New Brunswick Power Corporation","Point Lepreau Generating Station","122 County Line Road","Maces Bay","NB","45.069","-66.4556",1983.00,2211,"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",221113,"Nuclear electric power generation","Production d'électricité d'origine nucléaire","Electricity","Électricité
","Tonnes",0.08,1
2022,1788,"NOVA Chemicals Corporation (OBPS)","Moore Site","510 Moore Line","Mooretown","ON","42.8489","-82.4244",1983.00,3252,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing","Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",325210,"Resin and synthetic rubber manufacturing","Fabrication de résines et de caoutchouc synthétique","Chemicals","Produits chimiques
","Tonnes",0.06,1
2022,1797,"Canfor Pulp Ltd.","Northwood Pulp Mill","5353 Northwood Pulp Mill Road","Prince George","BC","53.9779","-122.695",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322112,"Chemical pulp mills","Usines de pâte chimique","Pulp and Paper","Pâte à papier et papier
","Tonnes",121.06,1
2022,1872,"Cascades Canada ULC","CASCADES EMBALLAGE CARTON-CAISSE CABANO","520 Commerciale  North","Temiscouata-sur-le-Lac","QC","47.67","-68.8625",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322121,"Paper (except newsprint) mills","Usines de papier (sauf le papier journal)","Pulp and Paper","Pâte à papier et papier
","Tonnes",1.33,1
2022,1875,"PRODUITS KRUGER Inc.","Produits Kruger Inc.","100 1 ère avenue Avenue","Crabtree","QC","45.9633","-73.47",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322121,"Paper (except newsprint) mills","Usines de papier (sauf le papier journal)","Pulp and Paper","Pâte à papier et papier
","Tonnes",15.30,1
2022,1941,"GOLDCORP CANADA LTD","Porcupine Gold Mines","4315 Gold Mine Road","South Porcupine","ON","48.4633","-81.2475",1983.00,2122,"Metal ore mining","Extraction de minerais métalliques",212220,"Gold and silver ore mining","Extraction de minerais d'or et d'argent","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",0.31,1
2022,1947,"Pinty's Delicious Foods","Port Colborne Poultry Ltd","2276 Second Concession Road","Port Colborne","ON","42.9108","-79.1879",1983.00,3116,"Meat product manufacturing","Fabrication de produits de viande",311615,"Poultry slaughtering and processing","Abattage et transformation de la volaille","Other Manufacturing","Autres fabrication
","Tonnes",9.16,1
2022,1961,"Pratt & Whitney Canada Inc.","Établissement 01","1000 Marie-Victorin","Longueuil","QC","45.5531","-73.495",1983.00,3364,"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",336410,"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces","Transportation Equipment Mfg.","Fabrication de matériel de transport
","Tonnes",8.0e-03,1
2022,1979,"Produits forestiers Résolu","Papeterie de Dolbeau","1 4ième Avenue","Dolbeau-Mistassini","QC","48.8791","-72.2189",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322121,"Paper (except newsprint) mills","Usines de papier (sauf le papier journal)","Pulp and Paper","Pâte à papier et papier
","Tonnes",114.84,1
2022,2000,"ArcelorMittal Exploitation Minière Canada s.e.n.c.","Usine de Bouletage de Port-Cartier","186 Portage des Mousses","Port-Cartier","QC","50.0334","-66.791",1983.00,2122,"Metal ore mining","Extraction de minerais métalliques",212210,"Iron ore mining","Extraction de minerais de fer","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",0.63,1
2022,2038,"Ne pas prendre - Alcoa Canada Co.","Aluminerie de Baie-Comeau","0 100 Maritime Route","Baie-Comeau","QC","49.2583","-68.1461",1983.00,3313,"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",331313,"Primary production of alumina and aluminum","Production primaire d'alumine et d'aluminium","Aluminum","Aluminum","Tonnes",1.045e-04,1
2022,2051,"Canadian Kraft Paper Industries Ltd.","Canadian Kraft Paper Industries Ltd.","1 Kraft Rd., Highway 10 North","The Pas","MB","53.860974","-101.213325",1983.00,3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",322121,"Paper (except newsprint) mills","Usines de papier (sauf le papier journal)","Pulp and Paper","Pâte à papier et papier
","Tonnes",59.59,1
2022,2068,"Darling International Canada Inc.","Moorefield","8406 Wellington County Road #7, RR #1 Road","Moorefield","ON","43.8144","-80.7153",1983.00,3116,"Meat product manufacturing","Fabrication de produits de viande",311614,"Rendering and meat processing from carcasses","Fonte de graisses animales et transformation de la viande provenant de carcasses","Other Manufacturing","Autres fabrication
","Tonnes",0.20,1
2022,2100,"Magris Ressources","La Mine Niobec","3400 du Columbium Road","Saint-Honoré","QC","48.5322","-71.1578",1983.00,2122,"Metal ore mining","Extraction de minerais métalliques",212299,"All other metal ore mining","Extraction de tous les autres minerais métalliques","Mining and Quarrying","Extraction minière et exploitation en carrière
","Tonnes",131.90,1
2022,2134,"Nutrien (Canada) Holdings ULC.","Redwater Fertilizer Operations","56225 SH643","Sturgeon County","AB","53.8416","-113.0979",1983.00,3253,"Pesticide, fertilizer and other agricultural chemical manufacturing","Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",325313,"Chemical fertilizer (except potash) manufacturing","Fabrication d'engrais chimiques (sauf la potasse)","Chemicals","Produits chimiques
","Tonnes",21.14,1
