XCoord;YCoord;OBJECTID;SCAT_CLASS_EN;SCAT_CLASS_FR;PROVINCEEXTENT;SHAPE_LENGTH;CREATEDBY
-14722717.17;7186082.96;66;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;276.896367;ECCC
-14758276.14;7184541.902;67;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;450.47319;ECCC
-14722834.24;7186348.899;68;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;459.710017;ECCC
-14721853.74;7186570.767;69;Boulder Beach or Bank;Plage ou berge de blocs;BC;441.838598;ECCC
-14721982.58;7186652.101;70;Pebble/Cobble Beach or Bank;Plage ou berge de cailloux/galet;BC;462.086073;ECCC
-14722652.13;7187083.976;71;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;927.625824;ECCC
-14755962.58;7187081.136;72;Boulder Beach or Bank;Plage ou berge de blocs;BC;715.789673;ECCC
-14756948.67;7187275.407;73;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;551.546825;ECCC
-14725243.75;7189327.14;74;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;265.664426;ECCC
-14725283.64;7189710.614;75;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;314.511946;ECCC
-14725444.19;7189735.242;76;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;308.382789;ECCC
-14728315.67;7191399.115;77;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;977.896795;ECCC
-14758727.7;7193208.202;78;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;264.907101;ECCC
-14762084.06;7194360.139;79;Bedrock Cliff/Vertical;Falaise rocheuse;BC;318.410128;ECCC
-14786063.79;7194956.327;80;Bedrock Platform;Plate-forme rocheuse;BC;696.785117;ECCC
-14786339.23;7195093.523;81;Bedrock Platform;Plate-forme rocheuse;BC;1007.656516;ECCC
-14782779.34;7195555.618;82;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;256.197481;ECCC
-14782931.97;7195644.306;83;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;447.002969;ECCC
-14778669.47;7196655.464;84;Bedrock Platform;Plate-forme rocheuse;BC;329.613137;ECCC
-14782060.76;7196868.004;85;Bedrock Platform;Plate-forme rocheuse;BC;517.502786;ECCC
-14790469.37;7196680.388;86;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;370.03154;ECCC
-14772035.13;7198139.971;87;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;259.003825;ECCC
-14771270.53;7198239.817;88;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;385.586117;ECCC
-14772498.49;7198532.429;89;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;299.803372;ECCC
-14768900.94;7199700.865;90;Bedrock Cliff/Vertical;Falaise rocheuse;BC;471.422138;ECCC
-14794543.1;7198552.373;91;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;467.626544;ECCC
-14793592.41;7198971.463;92;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;578.795826;ECCC
-14793762.28;7199086.24;93;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;712.038614;ECCC
-14796361.66;7199209.759;94;Bedrock Platform;Plate-forme rocheuse;BC;315.593116;ECCC
-14797676.72;7200920.045;95;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;604.757239;ECCC
-14806714.78;7203589.785;96;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;449.62205;ECCC
-14803239.93;7204517.941;97;Bedrock Platform;Plate-forme rocheuse;BC;1625.763821;ECCC
-14812393.51;7204581.151;98;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;490.695704;ECCC
-14810926.21;7204844.621;99;Bedrock Platform;Plate-forme rocheuse;BC;398.647919;ECCC
-14808204.82;7205177.153;100;Bedrock Platform;Plate-forme rocheuse;BC;309.976548;ECCC
-14811772.19;7204998.146;101;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;583.129347;ECCC
-14813607.66;7204943.538;102;Bedrock Platform;Plate-forme rocheuse;BC;541.419782;ECCC
-14809862.81;7205372.813;103;Bedrock Platform;Plate-forme rocheuse;BC;560.493087;ECCC
-14811618.61;7205189.464;104;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;575.245488;ECCC
-14810112;7205330.329;105;Bedrock Platform;Plate-forme rocheuse;BC;383.563046;ECCC
-14815223.03;7205122.76;106;Bedrock Platform;Plate-forme rocheuse;BC;516.819174;ECCC
-14810870.81;7205552.041;107;Bedrock Platform;Plate-forme rocheuse;BC;538.909312;ECCC
-14807205.85;7206635.613;108;Bedrock Cliff/Vertical;Falaise rocheuse;BC;257.013833;ECCC
-14807234.98;7207437.473;109;Bedrock Cliff/Vertical;Falaise rocheuse;BC;258.328307;ECCC
-14806989.31;7208621.064;110;Bedrock Cliff/Vertical;Falaise rocheuse;BC;448.951304;ECCC
-14807283.89;7208982.802;111;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;370.619699;ECCC
-14807194.73;7209048.604;112;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;970.977167;ECCC
-14807979.18;7210392.639;113;Bedrock Platform;Plate-forme rocheuse;BC;383.949992;ECCC
-14808077.24;7210684.578;114;Bedrock Platform;Plate-forme rocheuse;BC;362.899182;ECCC
-14810075.05;7210833.875;115;Bedrock Platform;Plate-forme rocheuse;BC;271.33737;ECCC
-14810919.02;7212446.578;116;Bedrock Cliff/Vertical;Falaise rocheuse;BC;282.038696;ECCC
-14810712.21;7212502.289;117;Bedrock Cliff/Vertical;Falaise rocheuse;BC;587.701483;ECCC
-14813557.59;7212319.783;118;Bedrock Cliff/Vertical;Falaise rocheuse;BC;424.732882;ECCC
-14811757.49;7212431.137;119;Bedrock Platform;Plate-forme rocheuse;BC;571.818481;ECCC
-14814898.13;7212586.2;120;Bedrock Cliff/Vertical;Falaise rocheuse;BC;386.99142;ECCC
-14815442.14;7212466.346;121;Bedrock Cliff/Vertical;Falaise rocheuse;BC;1016.899881;ECCC
-14814657.37;7212717.264;122;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;400.582472;ECCC
-14814812.37;7212786.033;123;Bedrock Cliff/Vertical;Falaise rocheuse;BC;949.939263;ECCC
-14814801.76;7213024.266;124;Bedrock Cliff/Vertical;Falaise rocheuse;BC;265.999133;ECCC
-14814872.42;7213107.31;125;Bedrock Platform;Plate-forme rocheuse;BC;384.298688;ECCC
-14814680.02;7213249.283;126;Bedrock Cliff/Vertical;Falaise rocheuse;BC;388.568273;ECCC
-14814407.86;7213557.221;127;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;506.335102;ECCC
-14814213.46;7213785.885;128;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;455.144916;ECCC
-14813827.59;7214313.959;129;Bedrock Cliff/Vertical;Falaise rocheuse;BC;350.353233;ECCC
-14814218.88;7214259.508;130;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;260.52868;ECCC
-14801397.44;7215465.356;131;Bedrock Platform;Plate-forme rocheuse;BC;608.83553;ECCC
-14813919.24;7215395.786;132;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;332.86231;ECCC
-14814099.89;7216102.596;133;Bedrock Platform;Plate-forme rocheuse;BC;621.045701;ECCC
-14814261.19;7216914.241;134;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;436.150771;ECCC
-14803681.36;7217640.722;135;Bedrock Cliff/Vertical;Falaise rocheuse;BC;369.852433;ECCC
-14814257.02;7217359.089;136;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;1027.543896;ECCC
-14811742.52;7218931.041;137;Bedrock Cliff/Vertical;Falaise rocheuse;BC;1713.6102;ECCC
-14810427.8;7218950.237;138;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;474.151567;ECCC
-14793467.78;7198284.542;139;Sand Beach or Bank;Plage ou berge de sable;BC;437.85721;ECCC
-14793250.11;7198564.263;140;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;689.978067;ECCC
-14793481.94;7198827.811;141;Bedrock Platform;Plate-forme rocheuse;BC;533.458116;ECCC
-14793628.68;7198618.927;142;Sand Beach or Bank;Plage ou berge de sable;BC;459.709081;ECCC
-14794312.38;7198235.435;143;Sand Beach or Bank;Plage ou berge de sable;BC;446.969215;ECCC
-14795243.43;7198182.139;144;Bedrock Platform;Plate-forme rocheuse;BC;1207.860087;ECCC
-14794612.35;7198329.642;145;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;257.423271;ECCC
-14793979.77;7198421.311;146;Sand Beach or Bank;Plage ou berge de sable;BC;437.800631;ECCC
-14796124.06;7198216.36;147;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;735.820358;ECCC
-14796692.76;7198743.01;148;Bedrock Platform;Plate-forme rocheuse;BC;907.331532;ECCC
-14797346.23;7199736.263;149;Bedrock Platform;Plate-forme rocheuse;BC;831.731539;ECCC
-14797871.56;7199975.479;150;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;461.704223;ECCC
-14797896.43;7200348.585;151;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;393.512479;ECCC
-14797189.01;7199248.504;152;Pebble/Cobble Beach or Bank;Plage ou berge de cailloux/galet;BC;623.098356;ECCC
-14797891.17;7200677.029;153;Sand Beach or Bank;Plage ou berge de sable;BC;314.923565;ECCC
-14797863.05;7200945.713;154;Bedrock Platform;Plate-forme rocheuse;BC;490.945416;ECCC
-14798179.79;7201060.38;155;Sand Beach or Bank;Plage ou berge de sable;BC;270.081791;ECCC
-14798315.56;7201435.202;156;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;609.489253;ECCC
-14798615.81;7201665.961;157;Bedrock Platform;Plate-forme rocheuse;BC;367.332491;ECCC
-14798988.48;7201869.763;158;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;701.450683;ECCC
-14799172.92;7202402.59;159;Bedrock Platform;Plate-forme rocheuse;BC;621.105376;ECCC
-14799791.48;7201986.13;160;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;1440.340811;ECCC
-14800613.43;7201539.644;161;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;520.406862;ECCC
-14800970.17;7201556.667;162;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;423.456939;ECCC
-14801231.65;7201464.324;163;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;496.940536;ECCC
-14801477.3;7201985.014;164;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;904.529177;ECCC
-14802221.47;7202038.241;165;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;894.928674;ECCC
-14803119.99;7201669.966;166;Bedrock Platform;Plate-forme rocheuse;BC;1168.93559;ECCC
-14803829.84;7201741.593;167;Bedrock Cliff/Vertical;Falaise rocheuse;BC;342.499327;ECCC
-14804146.37;7202542.281;168;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;618.2132;ECCC
-14804095.75;7201838.173;169;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;366.837895;ECCC
-14804124.57;7202215.032;170;Bedrock Platform;Plate-forme rocheuse;BC;472.583332;ECCC
-14805422.39;7202967.733;171;Boulder Beach or Bank;Plage ou berge de blocs;BC;876.326774;ECCC
-14806275.09;7203306.64;172;Bedrock Platform;Plate-forme rocheuse;BC;1111.760634;ECCC
-14804715.71;7202775.988;173;Bedrock Platform;Plate-forme rocheuse;BC;786.435602;ECCC
-14807484.43;7203736.406;174;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;1715.724136;ECCC
-14808144.35;7204461.765;175;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;626.714422;ECCC
-14808346.24;7204969.661;176;Sand Beach or Bank;Plage ou berge de sable;BC;550.868157;ECCC
-14805913.99;7206405.676;177;Boulder Beach or Bank;Plage ou berge de blocs;BC;625.024559;ECCC
-14806663.56;7206212.761;178;Bedrock Cliff/Vertical;Falaise rocheuse;BC;1653.515252;ECCC
-14805522.4;7206703.217;179;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;721.148958;ECCC
-14805307.92;7206285.967;180;Bedrock Platform;Plate-forme rocheuse;BC;516.969618;ECCC
-14804286.06;7205965.098;181;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;622.587375;ECCC
-14804641.2;7206010.096;182;Bedrock Cliff/Vertical;Falaise rocheuse;BC;361.900725;ECCC
-14804944.59;7206072.111;183;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;351.134913;ECCC
-14804277.75;7205635.033;184;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;360.73284;ECCC
-14804089.61;7205667.991;185;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;256.70092;ECCC
-14803343.46;7205666.201;186;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;607.925626;ECCC
-14803792.84;7205708.572;187;Bedrock Platform;Plate-forme rocheuse;BC;361.547042;ECCC
-14802197.42;7204918.707;188;Bedrock Platform;Plate-forme rocheuse;BC;475.28334;ECCC
-14803430.86;7204987.652;189;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;386.953045;ECCC
-14802857.44;7204853.588;190;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;851.660691;ECCC
-14804768.62;7205170.97;191;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;284.904245;ECCC
-14804388.56;7205227.286;192;Bedrock Cliff/Vertical;Falaise rocheuse;BC;625.889727;ECCC
-14803868.42;7205075.572;193;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;525.511937;ECCC
-14804947.02;7205087.042;194;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;268.837876;ECCC
-14804874.11;7204922.845;195;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;274.215244;ECCC
-14804585;7204756.692;196;Boulder Beach or Bank;Plage ou berge de blocs;BC;542.848214;ECCC
-14804168.61;7204589.43;197;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;412.027376;ECCC
-14802874.54;7206946.923;198;Bedrock Platform;Plate-forme rocheuse;BC;2615.699118;ECCC
-14802646.08;7208306.497;199;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;586.330332;ECCC
-14802651.11;7208823.66;200;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;489.516218;ECCC
-14802787.38;7209143.822;201;Bedrock Platform;Plate-forme rocheuse;BC;354.684206;ECCC
-14803033.36;7209275.425;202;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;303.033988;ECCC
-14803269.39;7209676.966;203;Bedrock Platform;Plate-forme rocheuse;BC;675.636551;ECCC
-14803450.65;7210291.307;204;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;646.20985;ECCC
-14803825.34;7210954.922;205;Bedrock Platform;Plate-forme rocheuse;BC;1043.948168;ECCC
-14804057.78;7211758.479;206;Sand Beach or Bank;Plage ou berge de sable;BC;753.422472;ECCC
-14803358.1;7212189.644;207;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;1150.842117;ECCC
-14801978.78;7212911.806;208;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;2908.929684;ECCC
-14802333.04;7214067.967;209;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;1168.672935;ECCC
-14801783.48;7214944.566;210;Bedrock Cliff/Vertical;Falaise rocheuse;BC;1706.68143;ECCC
-14801944.52;7215179.462;211;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;1045.900183;ECCC
-14802946.07;7215470.678;212;Boulder Beach or Bank;Plage ou berge de blocs;BC;1471.548347;ECCC
-14803080.46;7216549.02;213;Bedrock Cliff/Vertical;Falaise rocheuse;BC;2089.086521;ECCC
-14803324.72;7217244.536;214;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;263.55546;ECCC
-14805008.26;7217917.709;215;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;256.947207;ECCC
-14804925.48;7218132.422;216;Bedrock Cliff/Vertical;Falaise rocheuse;BC;445.241455;ECCC
-14803769.04;7217612.013;217;Bedrock Cliff/Vertical;Falaise rocheuse;BC;3212.02769;ECCC
-14805166.09;7218180.259;218;Bedrock Cliff/Vertical;Falaise rocheuse;BC;815.219559;ECCC
-14806256.85;7218609.041;219;Bedrock Cliff/Vertical;Falaise rocheuse;BC;3031.746591;ECCC
-14792014.02;7197364.843;220;Bedrock Platform;Plate-forme rocheuse;BC;1725.907746;ECCC
-14759212.94;7192241.568;221;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;2142.324575;ECCC
-14759766.45;7193255.036;222;Bedrock Platform;Plate-forme rocheuse;BC;1964.778339;ECCC
-14762074.41;7194208.664;223;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;952.030616;ECCC
-14763199.22;7195522.308;224;Bedrock Cliff/Vertical;Falaise rocheuse;BC;475.296006;ECCC
-14762857.38;7195253.252;225;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;627.660441;ECCC
-14762888.6;7194794.117;226;Boulder Beach or Bank;Plage ou berge de blocs;BC;632.019518;ECCC
-14761160.49;7193788.334;227;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;432.409457;ECCC
-14761635.25;7193812.141;228;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;429.749587;ECCC
-14760828.08;7193591.336;229;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;536.436586;ECCC
-14762536;7194598.255;230;Bedrock Cliff/Vertical;Falaise rocheuse;BC;402.230542;ECCC
-14761419.33;7193932.901;231;Bedrock Cliff/Vertical;Falaise rocheuse;BC;305.209556;ECCC
-14763609.03;7195249.84;232;Bedrock Platform;Plate-forme rocheuse;BC;785.098755;ECCC
-14764124.08;7195499.692;233;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;532.218905;ECCC
-14764617.33;7195733.928;234;Boulder Beach or Bank;Plage ou berge de blocs;BC;651.457269;ECCC
-14764701.12;7196101.688;235;Bedrock Cliff/Vertical;Falaise rocheuse;BC;305.970516;ECCC
-14765109.74;7196464.42;236;Boulder Beach or Bank;Plage ou berge de blocs;BC;1164.280198;ECCC
-14766194.94;7197156.744;237;Bedrock Platform;Plate-forme rocheuse;BC;1780.475797;ECCC
-14765554.15;7196814.93;238;Mixed Sediment Beach or Bank;Plage ou berge de sédiments mixtes;BC;291.098336;ECCC
-14767260.25;7197532.929;239;Mixed and Coarse Sediment Tidal Flat;Estran de sédiments mixtes et grossiers;BC;673.553893;ECCC
-14767378.48;7197967.871;240;Boulder Beach or Bank;Plage ou berge de blocs;BC;420.199547;ECCC
-14767301.29;7198498.159;241;Bedrock Cliff/Vertical;Falaise rocheuse;BC;733.667558;ECCC
-14767575.67;7198795.662;242;Boulder Beach or Bank;Plage ou berge de blocs;BC;334.833815;ECCC
-14767682.14;7199128.273;243;Bedrock Cliff/Vertical;Falaise rocheuse;BC;732.375458;ECCC
-14768147.49;7199279.64;244;Boulder Beach or Bank;Plage ou berge de blocs;BC;445.908939;ECCC
-14768441.25;7199477.61;245;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;744.716907;ECCC
-14768368.7;7199657.069;246;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;568.405083;ECCC
-14768570.42;7199344.283;247;Bedrock Sloping/Ramp;Rampe/Pente rocheuse;BC;547.132912;ECCC
-14768925.19;7199403.273;248;Bedrock Cliff/Vertical;Falaise rocheuse;BC;645.698222;ECCC
-14769014.96;7198838.726;249;Bedrock Platform;Plate-forme rocheuse;BC;1068.90863;ECCC
